Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,,,2026-01-29,2026-02-05 22:51 CET,BIS,"https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?","https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2021-09-30,F:Free,,A:Normal value,35170.357
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2021-12-31,F:Free,36676.288,B:Break,36676.889
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2022-03-31,F:Free,40156.945,B:Break,39748.215
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2022-06-30,F:Free,,A:Normal value,36881.61
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2022-09-30,F:Free,36208.181,B:Break,35965.576
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2022-12-31,F:Free,,A:Normal value,36080.292
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2023-03-31,F:Free,,A:Normal value,35971.005
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2023-06-30,F:Free,33038.07,B:Break,33013.54
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2023-09-30,F:Free,,A:Normal value,30253.101
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2023-12-31,F:Free,,A:Normal value,33042.774
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2024-03-31,F:Free,31010.02,B:Break,31009.991
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2024-06-30,F:Free,33544.023,B:Break,33317.743
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2024-09-30,F:Free,27951.974,B:Break,28044.119
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2024-12-31,F:Free,,A:Normal value,30881.548
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2025-03-31,F:Free,,A:Normal value,30342.786
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2025-06-30,F:Free,,A:Normal value,32356.922
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2025-09-30,F:Free,,A:Normal value,29179.586
